"","sample_name","SEQUENCES","library_ID","title","library_strategy","library_source","library_selection","library_layout","platform","instrument_model","design_description","filetype"
"21","GOM23_S14_N1_18S","6782_GOM23_S14_N1_18S_DNA_orig_S39_L001_R1_001.fastq.gz, 6782_GOM23_S14_N1_18S_DNA_orig_S39_L001_R2_001.fastq.gz, 6782_GOM23_S14_N1_18S_DNA_S134_L001_R1_001.fastq.gz, 6782_GOM23_S14_N1_18S_DNA_S134_L001_R2_001.fastq.gz","GOM23_S14_N1_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"22","GOM23_S14_N2_18S","6782_GOM23_S14_N2_18S_DNA_orig_S47_L001_R1_001.fastq.gz, 6782_GOM23_S14_N2_18S_DNA_orig_S47_L001_R2_001.fastq.gz, 6782_GOM23_S14_N2_18S_DNA_S141_L001_R1_001.fastq.gz, 6782_GOM23_S14_N2_18S_DNA_S141_L001_R2_001.fastq.gz","GOM23_S14_N2_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"23","GOM23_S14_N3_18S","6782_GOM23_S14_N3_18S_DNA_orig_S55_L001_R1_001.fastq.gz, 6782_GOM23_S14_N3_18S_DNA_orig_S55_L001_R2_001.fastq.gz, 6782_GOM23_S14_N3_18S_DNA_S149_L001_R1_001.fastq.gz, 6782_GOM23_S14_N3_18S_DNA_S149_L001_R2_001.fastq.gz","GOM23_S14_N3_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"24","GOM23_S14_N4_18S","6782_GOM23_S14_N4_18S_DNA_orig_S63_L001_R1_001.fastq.gz, 6782_GOM23_S14_N4_18S_DNA_orig_S63_L001_R2_001.fastq.gz, 6782_GOM23_S14_N4_18S_DNA_S157_L001_R1_001.fastq.gz, 6782_GOM23_S14_N4_18S_DNA_S157_L001_R2_001.fastq.gz","GOM23_S14_N4_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"25","GOM23_S14_N5_18S","6782_GOM23_S14_N5_18S_DNA_orig_S70_L001_R1_001.fastq.gz, 6782_GOM23_S14_N5_18S_DNA_orig_S70_L001_R2_001.fastq.gz, 6782_GOM23_S14_N5_18S_DNA_S164_L001_R1_001.fastq.gz, 6782_GOM23_S14_N5_18S_DNA_S164_L001_R2_001.fastq.gz","GOM23_S14_N5_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"26","GOM23_S14_N6_18S","6782_GOM23_S14_N6_18S_DNA_orig_S78_L001_R1_001.fastq.gz, 6782_GOM23_S14_N6_18S_DNA_orig_S78_L001_R2_001.fastq.gz, 6782_GOM23_S14_N6_18S_DNA_S172_L001_R1_001.fastq.gz, 6782_GOM23_S14_N6_18S_DNA_S172_L001_R2_001.fastq.gz","GOM23_S14_N6_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"27","GOM23_S14_N7_18S","6782_GOM23_S14_N7_18S_DNA_orig_S86_L001_R1_001.fastq.gz, 6782_GOM23_S14_N7_18S_DNA_orig_S86_L001_R2_001.fastq.gz, 6782_GOM23_S14_N7_18S_DNA_S180_L001_R1_001.fastq.gz, 6782_GOM23_S14_N7_18S_DNA_S180_L001_R2_001.fastq.gz","GOM23_S14_N7_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"28","GOM23_S14_N8_18S","6782_GOM23_S14_N8_18S_DNA_orig_S94_L001_R1_001.fastq.gz, 6782_GOM23_S14_N8_18S_DNA_orig_S94_L001_R2_001.fastq.gz, 6782_GOM23_S14_N8_18S_DNA_S188_L001_R1_001.fastq.gz, 6782_GOM23_S14_N8_18S_DNA_S188_L001_R2_001.fastq.gz","GOM23_S14_N8_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"29","GOM23_S14_N9_18S","6782_GOM23_S14_N9_18S_DNA_orig_S8_L001_R1_001.fastq.gz, 6782_GOM23_S14_N9_18S_DNA_orig_S8_L001_R2_001.fastq.gz, 6782_GOM23_S14_N9_18S_DNA_S103_L001_R1_001.fastq.gz, 6782_GOM23_S14_N9_18S_DNA_S103_L001_R2_001.fastq.gz","GOM23_S14_N9_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
"30","GOM23_S15_N10_18S","6782_GOM_S15_N10_18S_DNA_orig_S87_L001_R1_001.fastq.gz, 6782_GOM_S15_N10_18S_DNA_orig_S87_L001_R2_001.fastq.gz, 6782_GOM_S15_N10_18S_DNA_S181_L001_R1_001.fastq.gz, 6782_GOM_S15_N10_18S_DNA_S181_L001_R2_001.fastq.gz","GOM23_S15_N10_18S","Northern Gulf microbial ecology survey 2023","AMPLICON","GENOMIC","PCR","paired","ILLUMINA","NextSeq 2000","Amplicon tag-sequencing from the Gulf of Mexico using, 18S rRNA primers to target the microeukaryotepopulation.","fastq"
