"","FeatureID","Taxon","Domain","Supergroup","Division","Subdivision","Class","Order","Family","Genus","GENUS_SPECIES.x","Phylum","Grazer.Taxonomic.ID","GENUS","SPECIES","Synonym.Basionym","Feeding.Mode","Morphotype","ESD","Prey_MaxESD","Unknown","Bacteria","Detritus","Diatoms","Haptophytes","Chlorophytes","Cryptophytes","Raphidophytes","Pelagophytes","Dinoflagellates","Ciliates","Copepods","Copepod.Eggs...Nauplii","Metazoan.Host","Other","References","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","GENUS_SPECIES.y","DIST"
"193","11c7fa4666ae39cc5a51f976f72ff74f","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium_veneficum;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Kareniaceae","Karlodinium","Karlodinium veneficum","Dinoflagellata","Karlodinium veneficum","Karlodinium","veneficum","Karlodinium micrum, Gyrodinium galatheanum","Mixotroph","CM","10.5 - 18.7 µm","10 µm","","+","","","","","+","","","+","","","","","","Li et al. (1999); Li et al. (2000); Li et al. (2001); Adolf et al. (2003); Adolf et al. (2006); Jeong et al. (2010); Calbet et al. (2011); Wang et al. (2011); Place et al. (2012); Zhou et al. (2015); Lin et al. (2018); Ferreira et al. (2022)",NA,NA,NA,NA,NA,NA,NA,NA,"Karlodinium veneficum",0
"194","728cbcb473a5476f5a7a1cf8045b421b","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium_depressum;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","Protoperidinium depressum","Dinoflagellata","Protoperidinium depressum","Protoperidinium","depressum","","Heterotroph","SH","80.9","not recorded","","","","+","","","","","","","","","","","","Menden-Deuer et al. (2005)",NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium depressum",0
"195","f73e5bbd2ac73160022ae6cc49105b1d","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Protoceratiaceae;Schuettiella;Schuettiella_mitra;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Protoceratiaceae","Schuettiella","Schuettiella mitra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","7dbe38d2294005673e85b54fe0c3d403","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium_fusiforme;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium fusiforme","Dinoflagellata","Gyrodinium fusiforme","Gyrodinium","fusiforme","","Heterotroph","SH","31.1 - 39.9 µm","40 µm","","","","+","","","","","","+","","","","","","Naustvoll (2000); Takano & Horiguchi (2004); Saito et al. (2006); Sherr & Sherr (2007)",NA,NA,NA,NA,NA,NA,NA,NA,"Gyrodinium fusiforme",0
"197","fa237787a0b7225425f50cd0ff0de02f","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium_veneficum;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Kareniaceae","Karlodinium","Karlodinium veneficum","Dinoflagellata","Karlodinium veneficum","Karlodinium","veneficum","Karlodinium micrum, Gyrodinium galatheanum","Mixotroph","CM","10.5 - 18.7 µm","10 µm","","+","","","","","+","","","+","","","","","","Li et al. (1999); Li et al. (2000); Li et al. (2001); Adolf et al. (2003); Adolf et al. (2006); Jeong et al. (2010); Calbet et al. (2011); Wang et al. (2011); Place et al. (2012); Zhou et al. (2015); Lin et al. (2018); Ferreira et al. (2022)",NA,NA,NA,NA,NA,NA,NA,NA,"Karlodinium veneficum",0
"198","9ef8b6f7c7380d1fe016498481ad4b17","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Margalefidinium;Margalefidinium_polykrikoides;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Margalefidinium","Margalefidinium polykrikoides","Dinoflagellata","Margalefidinium polykrikoides","Margalefidinium","polykrikoides","Cochlodinium polykrikoides","Mixotroph","CM","23 - 28.8 µm","11 µm","","+","","+","+","","+","","","+","","","","","","Jeong et al. (2004); Jeong et al. (2005)",NA,NA,NA,NA,NA,NA,NA,NA,"Margalefidinium polykrikoides",0
"199","ee3c2666384e583a36c5c9db7739d327","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Spiniferites;Spiniferites_mirabilis;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Spiniferites","Spiniferites mirabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","5b1373da69999e30009ded3b90390050","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium_veneficum;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Kareniaceae","Karlodinium","Karlodinium veneficum","Dinoflagellata","Karlodinium veneficum","Karlodinium","veneficum","Karlodinium micrum, Gyrodinium galatheanum","Mixotroph","CM","10.5 - 18.7 µm","10 µm","","+","","","","","+","","","+","","","","","","Li et al. (1999); Li et al. (2000); Li et al. (2001); Adolf et al. (2003); Adolf et al. (2006); Jeong et al. (2010); Calbet et al. (2011); Wang et al. (2011); Place et al. (2012); Zhou et al. (2015); Lin et al. (2018); Ferreira et al. (2022)",NA,NA,NA,NA,NA,NA,NA,NA,"Karlodinium veneficum",0
"201","09e4872277b50643e0cbc55e2f9abf1c","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium;Alexandrium_affine;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Pyrocystaceae","Alexandrium","Alexandrium affine","Dinoflagellata","Alexandrium affine","Alexandrium","affine","","Autotroph","","30.1 - 31.9 µm","not recorded","","","","","","","","","","","","","","","","Lee et al. (2016); Kim et al. (2017)",NA,NA,NA,NA,NA,NA,NA,NA,"Alexandrium affine",0
"202","b79fcd4f452f2281a96252289f86e3ee","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidomataceae;Amphidoma;Amphidoma_languida;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Amphidomataceae","Amphidoma","Amphidoma languida","Dinoflagellata","Amphidoma languida","Amphidoma","languida","","Mixotroph","CM*","14.4 µm","not recorded","","+","","","","","","","","","","","","","","Stoecker (1999); Tillmann et al. (2015); Duhamel et al. (2019)",NA,NA,NA,NA,NA,NA,NA,NA,"Amphidoma languida",0
"203","35345e6aaee747831d44cb075da11f1c","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium_punctulatum;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","Protoperidinium punctulatum","Dinoflagellata","Protoperidinium punctulatum","Protoperidinium","punctulatum","","Heterotroph","SH","55.3 - 81.2 µm","< 200 µm","","","","+","","","","","","","","","","","","Jacobson & Anderson (1986)",NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium punctulatum",0
"204","3ae215a9c03e096690fe2b3a542bd217","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax;Gonyaulax_polygramma;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Gonyaulax","Gonyaulax polygramma","Dinoflagellata","Gonyaulax polygramma","Gonyaulax","polygramma","G. schuetti","Mixotroph","CM","29.5 - 39.4 µm","20 µm","","+","","","","","+","","","+","","","","","","Jacobson & Anderson (1996); Jeong et al. (2005); Lee et al. (2016)",NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma",0
"205","24be581ae4cf11d55410256f40bec1f4","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax;Gonyaulax_cochlea;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Gonyaulax","Gonyaulax cochlea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","09092654f4bd2c74cbe20e843c53945b","Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium_fusiforme;","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium fusiforme","Dinoflagellata","Gyrodinium fusiforme","Gyrodinium","fusiforme","","Heterotroph","SH","31.1 - 39.9 µm","40 µm","","","","+","","","","","","+","","","","","","Naustvoll (2000); Takano & Horiguchi (2004); Saito et al. (2006); Sherr & Sherr (2007)",NA,NA,NA,NA,NA,NA,NA,NA,"Gyrodinium fusiforme",0
