SAMPLES,YEAR,stn,nisk,barcode,rep,Sample_Ctrl,Station,Niskin,DEPTH
GOM23_S14_N2_18S_orig,GOM23,S14,N2,18S,orig,Sample,14,2,2344.083
GOM23_S14_N2_18S_S141,GOM23,S14,N2,18S,S141,Sample,14,2,2344.083
GOM23_S14_N3_18S_orig,GOM23,S14,N3,18S,orig,Sample,14,3,1996.106
GOM23_S14_N3_18S_S149,GOM23,S14,N3,18S,S149,Sample,14,3,1996.106
GOM23_S14_N4_18S_orig,GOM23,S14,N4,18S,orig,Sample,14,4,1646.535
GOM23_S14_N4_18S_S157,GOM23,S14,N4,18S,S157,Sample,14,4,1646.535
GOM23_S14_N5_18S_orig,GOM23,S14,N5,18S,orig,Sample,14,5,1297.954
GOM23_S14_N5_18S_S164,GOM23,S14,N5,18S,S164,Sample,14,5,1297.954
GOM23_S14_N6_18S_orig,GOM23,S14,N6,18S,orig,Sample,14,6,947.803
GOM23_S14_N6_18S_S172,GOM23,S14,N6,18S,S172,Sample,14,6,947.803
GOM23_S14_N7_18S_orig,GOM23,S14,N7,18S,orig,Sample,14,7,599.496
GOM23_S14_N7_18S_S180,GOM23,S14,N7,18S,S180,Sample,14,7,599.496
GOM23_S14_N8_18S_orig,GOM23,S14,N8,18S,orig,Sample,14,8,399.446
GOM23_S14_N8_18S_S188,GOM23,S14,N8,18S,S188,Sample,14,8,399.446
GOM23_S14_N9_18S_orig,GOM23,S14,N9,18S,orig,Sample,14,9,199.254
GOM23_S14_N9_18S_S103,GOM23,S14,N9,18S,S103,Sample,14,9,199.254
GOM23_S2_N1_18S_REP2,GOM23,S2,N1,18S,REP2,Sample,2,1,353.454
GOM23_S2_N1_18S_REP2_orig,GOM23,S2,N1,18S,REP2,Sample,2,1,353.454
GOM23_S2_N11_18S_REP1,GOM23,S2,N11,18S,REP1,Sample,2,11,2.9
GOM23_S2_N11_18S_REP1_orig,GOM23,S2,N11,18S,REP1,Sample,2,11,2.9
GOM23_S2_N11_18S_REP2,GOM23,S2,N11,18S,REP2,Sample,2,11,2.9
GOM23_S2_N11_18S_REP2_orig,GOM23,S2,N11,18S,REP2,Sample,2,11,2.9
GOM23_S2_N3_18S_REP1,GOM23,S2,N3,18S,REP1,Sample,2,3,269.068
GOM23_S2_N3_18S_REP1_orig,GOM23,S2,N3,18S,REP1,Sample,2,3,269.068
GOM23_S2_N6_18S_REP1,GOM23,S2,N6,18S,REP1,Sample,2,6,149.888
GOM23_S2_N6_18S_REP1_orig,GOM23,S2,N6,18S,REP1,Sample,2,6,149.888
GOM23_S2_N6_18S_REP2,GOM23,S2,N6,18S,REP2,Sample,2,6,149.888
GOM23_S2_N6_18S_REP2_orig,GOM23,S2,N6,18S,REP2,Sample,2,6,149.888
GOM23_S2_N8_18S_REP2,GOM23,S2,N8,18S,REP2,Sample,2,8,24.17
GOM23_S2_N8_18S_REP2_orig,GOM23,S2,N8,18S,REP2,Sample,2,8,24.17
GOM23_S3_N1_18S_orig,GOM23,S3,N1,18S,orig,Sample,3,1,1234.265
